country,coastline,highest,EU
Albania,yes,2764,no
Andorra,no,2942,no
Austria,no,3798,yes
Belarus,no,345,no
Belgium,yes,694,yes
Bosnia and Herzegovina,no,2386,no
Bulgaria,yes,2925,yes
Croatia,yes,1831,yes
Cyprus,yes,1952,yes
Czech Republic,no,1603,yes
Denmark,yes,171,yes
Estonia,yes,318,yes
Finland,yes,1324,yes
France,yes,4810,yes
Germany,yes,2962,yes
Greece,yes,2919,yes
Hungary,no,1014,yes
Iceland,yes,2110,no
Ireland,yes,1041,yes
Italy,yes,4810,yes
Kosovo,no,2656,no
Latvia,yes,311,yes
Liechtenstein,no,2599,no
Lithuania,yes,294,yes
Luxembourg,no,560,yes
Macedonia,no,2764,no
Moldova,no,430,no
Montenegro,yes,2534,no
Netherlands,yes,321,yes
Norway,yes,2469,no
Poland,yes,2499,yes
Portugal,yes,1993,yes
Romania,yes,2544,yes
Serbia,no,2169,no
Slovakia,no,2655,yes
Slovenia,yes,2864,yes
Spain,yes,3479,yes
Sweden,yes,2104,yes
Switzerland,no,4634,no
Turkey,yes,5137,no
Ukraine,yes,2061,no
United Kingdom,yes,1344,yes
